original_sentence,underlying_demand,counter_strategy
你不给我花就是不爱我,情绪勒索——用爱称量化金钱,爱不爱用行为验证而不是转账金额验证；可以说：爱不能按月结算，我的规划是共同储蓄，每一笔都透明
我闺蜜老公一个月给她两万,社会比较——制造参照系焦虑,参照系由她选择就意味着标准永远可以上移；可以说：我们家预算按我们收入定，不按别人朋友圈定
工资不交给我说明你有私心,经济控制——以安全感为名剥夺财务自主,可以说：私心不等于私房钱；我保留个人支配额度，共同账户每月对账，比上交更透明
彩礼少于18万就是娶不起,借婚姻索取——将情感承诺抵押为现金,引用《民法典》1042条：借婚姻索取财物违法；可以说：彩礼按双方家庭承受力谈，不按威胁价谈
我妈说…（一切以母亲名义提出的要求）,代理人施压——用第三方名义回避直接博弈,可以说：我们小家的决定我们俩做；你妈的意见我尊重，但我们不照单执行
你要是敢跟我离婚你就完了,威胁性绑定——用毁灭预期阻止退出,不回应威胁内容只回应行为；可以说：威胁只会让离婚从假设变成日程
都是你的错我才会这样,责任转嫁——规避自省的说辞,不接受因果捆绑；可以说：我的错我认，但你的情绪不是我的债务
你之前答应过的（断章取义的承诺）,沉没成本绑架——用旧承诺锁死新决策,可以说：承诺可以重新协商，情况变了约定就该更新；口头孤证不作数
随便你反正我无所谓,被动攻击——用假性放手换取追逐,不接追逐剧本；可以说：好，那我按我的方案执行，有异议再谈
你要是爱我就应该知道我想要什么,读心测试——设置必败的验证游戏,可以说：我没有读心术，你说出来我照做；猜错不是不爱的证据
我为你付出了一切,道德记账——把自愿付出转为债权,可以说：付出是共同的选择，不是单方面放贷；账要一起算
别人家男朋友都…,比较勒索的变体——用群体名义施压,可以说：别人的丈夫不在我们的合同里；我们按自己的收入和目标过
不买XX就是不爱我,消费与爱绑定——仪式感通胀,可以说：爱表现在储蓄率和陪伴时长上，不表现在单品价格上
你窝囊你没出息,贬低打压——摧毁自尊以建立服从,戈特曼称蔑视为离婚头号预测指标；可以说：批评具体的事可以，攻击人格的对话到此为止
我是为你好才管你的钱,家长化控制——以监护名义越权,可以说：为我好请给我信息和建议，而不是没收决策权
離了婚你什么都得不到,法律恐吓——用错误法律认知威慑,可以说：财产分割有《民法典》婚姻家庭编管，恐吓只会增加我的取证动力
你再这样我就告诉我妈,升级威胁——引入外部势力施压,可以说：找外援可以，但外援改变不了我们俩必须面对的问题本身
我怀孕了（用于阻止正常分歧）,道德豁免权——用生育状态豁免一切讨论,可以说：我尊重你的身体，但分歧不会因怀孕自动消失，我们可以约个双方都舒服的时间谈
你工资卡密码都不告诉我,透明度双标——单向透明要求,可以说：透明是双向的，你的账户明细我同样可以看到
男人就该养家你推什么,性别角色绑架——用传统义务免除自身责任,可以说：养家是两个人的事，我出钱你出力或我出力你出钱都可以谈，唯独不能只谈单边
我爸妈养我这么大不容易,恩情账单——将父母养育成本转嫁为婚姻债务,可以说：养育之恩我敬重，但恩情不等于我家的无限授信
你敢瞒着我一件小事就是全都在骗我,有罪推定——用放大镜制造防御疲惫,可以说：一次错误一次纠正，不做整体人格审判
我们要有一条心你就听我的,统一话术包装控制——用团结名义否定异议,可以说：一条心不等于一张嘴；异见是我们家的免疫系统
钱放你那我还得开口要，多尴尬,反客为主——把管理成本说成对方义务,可以说：各自保留额度+共同账户自动划转，谁都不用开口要
你不听我的就是不爱这个家,忠诚测试——将异议定义为背叛,可以说：我提异议正是因为在乎这个家；无人机不叫忠诚叫失灵
我前男友从来不会这样,参照攻击——用幽灵前任贬低现役,可以说：那你可以联系他；我们之间比较对象只有昨天的我们
你这么大人了这点事都做不好,能力否定——为接管决策制造合法性,可以说：做不好我会改，不需要接管；具体指出我做砸了哪件事
这钱我先借走以后还你（从未还）,模糊债权——用亲情话术规避借据,大额往来必须留借条与转账备注；《民法典》667条借款合同自成立时生效
你不管我妈就是不尊重我,道德捆绑——把配偶义务扩大到姻亲无限责任,可以说：尊重有边界，赡养有法律标准，超出部分我们协商
我就试验一下你会不会生气,服从性测试——用小冲突校准控制深度,可以说：实验结束，结论是我不接受被测试
你都记仇这么久，女人心就是小,翻旧账反打——将正当追责污名化为小心眼,可以说：追责到解决为止才叫追责；问题不解决才会反复被提起
我朋友都说你配不上我,舆论围剿——借群体贬低制造亏欠感,可以说：配不配不是她朋友投票的事；如果真觉得不配，契约可以终止
你要跟我妈吵架我就跟你离婚,站队通牒——强制在合理边界与姻亲之间二选一,可以说：我不吵架，但我有说'不'的权利；通牒解决不了任何具体问题
做了爸爸的男人才有责任感,生育绑架——把人格评价与生育绑定,可以说：责任感体现在收入、健康和情绪稳定上，不体现在一次射精上
你挣得不多就多干点家务,收入歧视——以收入差分配尊严,可以说：家务按时间与精力分摊，收入差用预算规划解决，两者不兑换
我不高兴你就别想安宁,情绪人质——用人质策略终结谈判,可以说：我等你平静，但问题不会因为冷战消失；明天晚上8点我们继续
你看看你朋友混得都比你好,参照打击——瓦解自信以便接管人生规划,可以说：我的人生由我复盘，不接受代理记账
结婚几年了你还不想要孩子是不是有病,病理化分歧——将正常犹豫妖魔化,可以说：生育是重大决策，谨慎不是病症；我们不互相下诊断
反正你答应不答应我都决定了,既成事实策略——先斩后奏剥夺决策权,可以说：既成事实可以撤回；共同账户的大额操作没我签字无效
你不敢就是心虚,逼供话术——用二分法压缩辩护空间,可以说：不敢和不愿意是两回事；我拒绝的是这种问话方式
当初要不是看上你这条舔狗,贬低性溯源——否定你的选择价值以巩固高位,可以说：那我们可以重新评估这段关系；侮辱不产生债务也不产生忠诚
我妈就是刀子嘴豆腐心,免责声明——用性格标签豁免伤害行为,可以说：刀子也是刀子；豆腐心不能预约，伤害已实际发生
你管那么多干嘛挣钱回家就行,参与权剥夺——用分工名义排除决策参与,可以说：钱我有份挣，决策我就有份投；投资人不参加董事会是不存在的
我生气摔你东西怎么了,双标暴力——将破坏行为娱乐化,可以说：摔东西是暴力行为，发生一次我们就需要重新谈规则
你现在嫌我老了不好看了吧,臆测指控——为莫须有的嫌弃预支惩罚,可以说：我从未这样说；请把具体事件说清楚，我不为臆测道歉
离婚可以，孩子你一个都别想,抚养权恐吓——用孩子作为谈判武器,可以说：抚养权归谁法院按最有利于未成年子女原则判；用孩子要挟只会记录在案
你要是不同意咱们就冷着,冷暴力要挟——用关系冻结逼你让步,可以说：冷着可以，但我的底线方案不会因为低温而改变
我为你堕过胎你欠我的,牺牲债权——将共同决定折算为单方债务,可以说：那是我陪你一起经历的事，我承担了陪伴责任；但生育决定是两个人的共同决定
你们男人没一个好东西,群体定性——用一次性否定豁免自身行为,可以说：这个论断如果成立，包括你父亲你兄弟；我们只谈具体行为
过不下去了（每周说但从不行动）,狼来了策略——用退出威胁做日常筹码,可以说：过不下去是重话，说三次我们就正式讨论退出方案，不再作为口头禅
你自己心里没点数吗,拒绝沟通话术——把举证责任全部推给你,可以说：我心里有数的部分我说了，你心里的部分请用嘴输出
要不我们AA吧（在婚后突然提出）,风险转嫁——婚内风险单向切割,可以说：AA可以谈，前提是债务、家务、生育成本也全部AA；只切财产的AA是伪AA
